itemString,itemName,stackSize,quantity,price,otherPlayer,player,time,source
i:171428,Shadowghast Ingot,200,200,935000,Kittypiee,Etlol,1611156600,Auction
i:178787,Orboreal Shard,100,100,1370900,Phame,Etlol,1611156628,Auction
i:172089,Desolate Leather,20,20,25000,Trouttman,Etlol,1611157168,Auction
i:136377,Oversized Bobber,20,20,3520,Merchant,Etlol,1611159472,Vendor
i:171437,Shaded Sharpening Stone,4,4,155000,Bodega,Etlol,1611314050,Auction
i:171276,Spectral Flask of Power,7,7,6999000,Tinytriceps,Etlol,1611314084,Auction
i:7676,Thistle Tea,6,6,120,Merchant,Etlol,1611315053,Vendor
i:183951,Immortal Shard,1,2,90000,Merchant,Etlol,1611349837,Vendor
i:172059,Rich Grazer Milk,10,50,4250,Merchant,Etlol,1611350265,Vendor
i:178786,Lusterwheat Flour,10,30,3500,Merchant,Etlol,1611350268,Vendor
i:172056,Medley of Transplanar Spices,10,30,5000,Merchant,Etlol,1611350341,Vendor
i:182560::2:1711:6907:1:9:60,?,1,1,376638,Merchant,Etlol,1611510702,Vendor
i:63293,?,1,1,150,Merchant,Etlol,1611585613,Vendor
i:163548,Kul Tiran Tripel,1,1,52400,Merchant,Etlol,1611585616,Vendor
i:144410,Barrel-Aged Stormstout,1,1,200,Merchant,Etlol,1611585618,Vendor
i:116397,?,1,1,40000,Merchant,Etlol,1611587448,Vendor
i:116397,?,1,1,40000,Merchant,Etlol,1611669761,Vendor
i:116397,?,1,1,40000,Merchant,Etlol,1611756555,Vendor
i:116397,?,1,1,40000,Merchant,Etlol,1611758762,Vendor
i:184652,Phantasmic Infuser,1,1,50000,Merchant,Etlol,1611765427,Vendor
i:183786,?,1,1,50000,Merchant,Etlol,1611886514,Vendor
i:179307,Drab of Tuica Moonshine,1,1,32400,Merchant,Etlol,1611886566,Vendor
i:178221,Torchberry Wine,1,1,32400,Merchant,Etlol,1611886567,Vendor
i:144410,Barrel-Aged Stormstout,1,1,200,Merchant,Etlol,1611886574,Vendor
i:172057,Inconceivably Aged Vinegar,10,20,3188,Merchant,Etlol,1611941281,Vendor
i:172056,Medley of Transplanar Spices,10,30,4250,Merchant,Etlol,1611941290,Vendor
i:172059,Rich Grazer Milk,10,30,3613,Merchant,Etlol,1611941295,Vendor
i:183242,?,1,1,9350000,Merchant,Etlol,1611941669,Vendor
i:183245,?,1,1,9350000,Merchant,Etlol,1612026170,Vendor
i:178991,?,1,1,80000,Merchant,Etlol,1612026175,Vendor
i:184351,?,1,1,10000000,Merchant,Etlol,1612026190,Vendor
i:183740,?,1,1,240000000,Merchant,Etlol,1612026198,Vendor
i:178991,?,1,1,20000,Merchant,Etlol,1612026223,Vendor
i:144410,Barrel-Aged Stormstout,1,1,200,Merchant,Etlol,1612027715,Vendor
i:163098,Tradewinds Kolsch,1,1,32400,Merchant,Etlol,1612027720,Vendor
i:182123,?,1,1,32400,Merchant,Etlol,1612027722,Vendor
i:163643,Haustvald 25 Year Runewood Cask,1,1,194900,Merchant,Etlol,1612027726,Vendor
i:171437,Shaded Sharpening Stone,20,20,350000,Aeids,Etlol,1612155139,Auction
i:171349,Potion of Phantom Fire,20,20,2199900,Multiple Sellers,Etlol,1612155125,Auction
i:171285,Shadowcore Oil,20,20,140000,Racoon,Etlol,1612155179,Auction
i:30817,Simple Flour,5,5,4,Merchant,Etlol,1612192312,Vendor
i:92794,?,1,1,8000,Merchant,Etlol,1612192426,Vendor
i:78910,?,1,1,25600,Merchant,Etlol,1612193391,Vendor
i:116397,?,1,1,40000,Merchant,Etlol,1612194473,Vendor
